OC,TH_LAT,TH_LONG,SURVEY_DATE
9.8,42.04306123,-3.598437657,2018-04-28 00:00:00
55.4,55.90529234,27.00946378,2018-04-28 00:00:00
22.1,56.78490738,24.01357471,2018-04-28 00:00:00
30.9,42.33976641,-6.040623244,2018-04-28 00:00:00
20.0,56.79537165,24.25168886,2018-04-28 00:00:00
17.4,56.44474971,23.25901023,2018-04-28 00:00:00
31.7,56.41938143,23.15107429,2018-04-28 00:00:00
4.9,40.67997882,-7.154566217,2018-04-29 00:00:00
13.7,40.71517442,9.045787863,2018-04-29 00:00:00
26.9,42.39894173,-6.355082666,2018-04-29 00:00:00
73.9,41.91121174,-8.002371094,2018-04-29 00:00:00
28.0,51.93220144,16.09996619,2018-04-29 00:00:00
185.6,42.01312109,14.03183892,2018-04-29 00:00:00
86.9,42.80119771,-7.245611181,2018-04-29 00:00:00
48.8,41.90389726,14.04867533,2018-04-29 00:00:00
20.7,42.0552398,14.32402676,2018-04-29 00:00:00
12.7,42.70447294,-1.993842722,2018-04-29 00:00:00
94.9,35.11821081,25.63045613,2018-04-29 00:00:00
14.6,37.55515832,21.83366937,2018-04-29 00:00:00
18.7,42.37932964,-6.250186524,2018-04-29 00:00:00
10.6,37.61595564,-1.639171738,2018-04-30 00:00:00
47.5,41.52766857,-7.468518101,2018-04-30 00:00:00
36.5,51.28780055,-2.731509747,2018-04-30 00:00:00
21.8,41.78859319,-0.234498828,2018-04-30 00:00:00
33.0,40.73500756,-7.364110987,2018-04-30 00:00:00
26.9,41.74792095,-0.276071193,2018-04-30 00:00:00
26.5,45.27785367,1.158484004,2018-04-30 00:00:00
8.1,35.04709344,32.44215916,2018-04-30 00:00:00
11.6,43.28205369,-8.380353098,2018-04-30 00:00:00
6.9,39.37679963,-2.185080763,2018-04-30 00:00:00
16.3,56.65699416,22.96800131,2018-04-30 00:00:00
14.8,40.74640069,22.90524072,2018-04-30 00:00:00
47.4,42.34802254,-6.216718577,2018-04-30 00:00:00
13.4,39.39176322,-2.21131062,2018-04-30 00:00:00
10.6,37.6779562,-1.581364789,2018-04-30 00:00:00
12.9,42.42612054,-6.188469035,2018-04-30 00:00:00
17.0,40.65954216,-7.270119832,2018-04-30 00:00:00
19.5,35.20834813,25.09421766,2018-04-30 00:00:00
17.2,42.36948119,-6.197767029,2018-04-30 00:00:00
20.8,46.61958989,1.172354431,2018-04-30 00:00:00
15.5,34.88555887,32.41405911,2018-04-30 00:00:00
31.8,40.96569098,-7.722229895,2018-04-30 00:00:00
16.1,34.97763773,32.42027008,2018-04-30 00:00:00
12.3,45.01755862,9.810027276,2018-04-30 00:00:00
21.2,37.5516643,-7.706921315,2018-05-01 00:00:00
13.7,45.20240508,-0.266022225,2018-05-01 00:00:00
116.7,50.62243989,-3.757418883,2018-05-01 00:00:00
10.4,37.3219921,-4.182579004,2018-05-01 00:00:00
47.0,43.12074637,-8.252501044,2018-05-01 00:00:00
7.5,42.3336171,-5.964494518,2018-05-01 00:00:00
8.9,37.35647901,-4.075566102,2018-05-01 00:00:00
22.4,37.413259,-4.064410795,2018-05-01 00:00:00
16.9,39.77493474,-6.956036513,2018-05-01 00:00:00
7.5,37.35189823,-3.983328296,2018-05-01 00:00:00
46.4,41.08807938,16.18163985,2018-05-01 00:00:00
9.5,39.69492019,-6.886972689,2018-05-01 00:00:00
15.6,42.48207605,-5.954993137,2018-05-01 00:00:00
